# KLIBS INFO
#  > KLibs Commit: f3114ba150b1539d5e7d18ebe5fe32efa02ee24e
#
# EXPERIMENT SETTINGS
#  > Trials Per Block: 60
#  > Blocks Per Experiment: 8
#
# SYSTEM INFO
#  > Operating System: OS X 10.11.6
#  > Python Version: 2.7.12
#
# DISPLAY INFO
#  > Screen Size: 24" diagonal
#  > Resolution: 2560x1440 @ 60Hz
#  > View Distance: 57 cm

participant	gender	age	handedness	random_seed	block_num	trial_num	search_type	stimulus_type	present_absent	set_size	target_distractor	distractor_distractor	target_time	target_onset	spatial_response	spatial_rt	temporal_response	temporal_rt
991c9ec6814d9c6a7595b3bbe30a1692b4ac7fa2	f	18	r	194439599	9	7	space	COLOR	present	12	homo	homo	NA	NA	present	1045.28831498	NA	NA
991c9ec6814d9c6a7595b3bbe30a1692b4ac7fa2	f	18	r	194439599	9	8	space	COLOR	present	8	homo	homo	NA	NA	present	868.332309998	NA	NA
991c9ec6814d9c6a7595b3bbe30a1692b4ac7fa2	f	18	r	194439599	9	9	space	COLOR	absent	16	homo	homo	NA	NA	absent	1565.66545996	NA	NA
991c9ec6814d9c6a7595b3bbe30a1692b4ac7fa2	f	18	r	194439599	9	10	space	COLOR	present	16	homo	homo	NA	NA	present	718.022804998	NA	NA
991c9ec6814d9c6a7595b3bbe30a1692b4ac7fa2	f	18	r	194439599	9	11	space	COLOR	absent	8	homo	homo	NA	NA	absent	1071.447175	NA	NA
991c9ec6814d9c6a7595b3bbe30a1692b4ac7fa2	f	18	r	194439599	9	12	space	COLOR	absent	12	homo	homo	NA	NA	present	996.968370979	NA	NA
991c9ec6814d9c6a7595b3bbe30a1692b4ac7fa2	f	18	r	194439599	9	13	space	COLOR	absent	16	homo	homo	NA	NA	absent	995.430493029	NA	NA
991c9ec6814d9c6a7595b3bbe30a1692b4ac7fa2	f	18	r	194439599	9	14	space	COLOR	present	16	homo	homo	NA	NA	present	1011.17427304	NA	NA
991c9ec6814d9c6a7595b3bbe30a1692b4ac7fa2	f	18	r	194439599	9	15	space	COLOR	absent	12	homo	homo	NA	NA	absent	907.362801023	NA	NA
991c9ec6814d9c6a7595b3bbe30a1692b4ac7fa2	f	18	r	194439599	9	16	space	COLOR	present	12	homo	homo	NA	NA	present	886.479121982	NA	NA
991c9ec6814d9c6a7595b3bbe30a1692b4ac7fa2	f	18	r	194439599	9	17	space	COLOR	present	8	homo	homo	NA	NA	present	1107.21024498	NA	NA
991c9ec6814d9c6a7595b3bbe30a1692b4ac7fa2	f	18	r	194439599	9	18	space	COLOR	absent	8	homo	homo	NA	NA	absent	1014.01286898	NA	NA
991c9ec6814d9c6a7595b3bbe30a1692b4ac7fa2	f	18	r	194439599	9	19	space	COLOR	present	12	homo	homo	NA	NA	present	979.782206006	NA	NA
991c9ec6814d9c6a7595b3bbe30a1692b4ac7fa2	f	18	r	194439599	9	20	space	COLOR	present	16	homo	homo	NA	NA	present	906.846224039	NA	NA
991c9ec6814d9c6a7595b3bbe30a1692b4ac7fa2	f	18	r	194439599	9	21	space	COLOR	absent	8	homo	homo	NA	NA	absent	975.246185029	NA	NA
991c9ec6814d9c6a7595b3bbe30a1692b4ac7fa2	f	18	r	194439599	9	22	space	COLOR	absent	12	homo	homo	NA	NA	absent	927.418756008	NA	NA
991c9ec6814d9c6a7595b3bbe30a1692b4ac7fa2	f	18	r	194439599	9	23	space	COLOR	absent	16	homo	homo	NA	NA	absent	904.539444018	NA	NA
991c9ec6814d9c6a7595b3bbe30a1692b4ac7fa2	f	18	r	194439599	9	24	space	COLOR	present	8	homo	homo	NA	NA	present	666.823451	NA	NA
